miRNA,Disease,Category,Evidence_class,Source_as_recorded,Reference_1,Reference_2,Study_type,Method,Validated_targets,Pathway_mechanism,Functional_role,Has_exact_sequence
miR-548as-3p,Non-Small-Cell Lung Carcinoma,Cancer,E1,HMDD,"[93](Akgun et al., 2019)",,Ex vivo,ChiP-Seq qRT/PCR Dual-luciferase reporter assay,,,,True
miR-548at-5p,Asthma,Inflammatory diseases,E2,HMDD,"[86](Tian et al., 2021)",,In silico,miRDB miRTarBase Targetscan,,,,True
miR-548b,Colorectal cancer,Cancer,E1,HMDD,"[122](Xu, et al., 2020)",,Ex vivo In vitro,Flow cytometry qRT/PCR Dual-luciferase reporter assay,,,,False
miR-548b-3p,Breast cancer,Cancer,E1,HMDD,"[34](Sha, M. et al,. 2020)",,Ex vivo In vitro,qRT/PCR Dual-luciferase reporter assay,MDM2,p53 signaling pathway,Tumor suppressor,True
miR-548b-3p,Melanoma,Cancer,E1,HMDD,"[16](Feng, 2021)",,In vivo,qRT/PCR Dual-luciferase reporter assay,HMGB1,Inflammatory signaling,Tumor suppressor,True
miR-548b-3p,Non-Small-Cell Lung Carcinoma,Cancer,E1,HMDD,"[45](Wang, Z. et al., 2020)",,In vitro In vivo,qRT/PCR,,,,True
miR-548b-3p,Glioma,Cancer,E1,HMDD,"[103](Li, C. et al., 2022)",,Ex vivo In vitro,qRT/PCR Dual-luciferase reporter assay Inmunoprecipitation,,,,True
miR-548b-3p,Lung ischemia-reperfusion injury (LIRI),Inflammatory diseases,E1,HMDD,"[75](Elgharably et al., 2020)",,Ex vivo In silico,Illumina NGS / MiSeq qRT/PCR TargetScanHuman,,,,True
miR-548b-3p,Pulmonary tuberculosis,Infectious diseases,E1,HMDD,"[76](Wang et al., 2011)",,Ex vivo In silico,MiRNA microarray assay qRT/PCR TargetScan mRNA,,,,True
miR-548b-3p,Hepatocellular carcinoma,Cancer,E1,HMDD,"[121](Lin & Wang, 2018)",,Ex vivo In vitro,qRT/PCR Dual-luciferase reporter assay,,,,True
miR-548b-3p,Chronic Myeloid Leukemia,Cancer,E1,HMDD,"[130](Zhong, A. et al., 2021)",,Ex vivo In vitro,MiRNA microarray assay qRT/PCR Flow cytometry,,,,True
miR-548b-3p,Papillary Thyroid Cancer,Cancer,E1,HMDD,"[146](Feng et al., 2021)",,Ex vivo In vitro,qRT/PCR Dual-luciferase reporter assay,,,,True
miR-548b-3p,Head and neck squamous cell carcinoma,Cancer,E2,HMDD,"[89](Sass, S. et al., 2015",,In silico,TCGA data portal TargetScan,,,,True
miR-548b-3p,Colorectal cancer,Cancer,E1,HMDD,"[126](Duan & Qiu, 2022)",,Ex vivo In vitro,qRT/PCR,,,,True
